iter	Passed	Remaining
0	151	75416
1	260	64920
2	385	63800
3	526	65228
4	669	66272
5	769	63374
6	892	62827
7	1012	62269
8	1116	60900
9	1227	60152
10	1358	60374
11	1472	59880
12	1589	59550
13	1700	59026
14	1954	63185
15	2036	61594
16	2151	61119
17	2258	60485
18	2368	59966
19	2510	60251
20	2621	59786
21	2736	59456
22	2854	59192
23	2956	58631
24	3058	58110
25	3163	57677
26	3348	58663
27	3437	57940
28	3548	57635
29	3658	57320
30	3756	56827
31	3887	56859
32	3993	56520
33	4099	56189
34	4193	55719
35	4297	55393
36	4392	54967
37	4500	54720
38	4617	54577
39	4720	54280
40	4810	53851
41	4907	53515
42	5003	53179
43	5100	52861
44	5218	52766
45	5305	52364
46	5407	52117
47	5498	51781
48	5592	51477
49	5684	51160
50	5778	50874
51	5873	50605
52	5965	50312
53	6061	50063
54	6149	49758
55	6248	49540
56	6339	49267
57	6433	49026
58	6522	48753
59	6624	48578
60	6706	48265
61	6797	48021
62	6899	47858
63	6992	47638
64	7075	47348
65	7179	47210
66	7278	47038
67	7368	46810
68	7466	46635
69	7556	46417
70	7657	46267
71	7748	46063
72	7844	45884
73	7943	45726
74	8028	45495
75	8131	45363
76	8236	45248
77	8337	45108
78	8436	44961
79	8530	44783
80	8627	44631
81	8714	44424
82	8808	44253
83	8904	44096
84	8993	43910
85	9087	43747
86	9181	43585
87	9278	43441
88	9380	43318
89	9469	43140
90	9565	42992
91	9649	42793
92	9759	42710
93	9850	42543
94	9947	42405
95	10044	42271
96	10136	42115
97	10240	42006
98	10334	41860
99	10435	41740
100	10529	41598
101	10625	41461
102	10721	41326
103	10820	41199
104	10914	41060
105	11015	40943
106	11112	40813
107	11248	40827
108	11328	40636
109	11425	40507
110	11520	40372
111	11629	40286
112	11726	40161
113	11823	40032
114	11920	39908
115	12015	39774
116	12107	39632
117	12199	39493
118	12295	39366
119	12386	39223
120	12485	39106
121	12570	38947
122	12666	38821
123	12758	38688
124	12851	38554
125	12941	38414
126	13036	38288
127	13127	38152
128	13233	38058
129	13338	37962
130	13435	37845
131	13540	37750
132	13639	37637
133	13738	37524
134	13878	37524
135	13968	37387
136	14099	37357
137	14209	37274
138	14307	37158
139	14413	37063
140	14554	37057
141	14649	36933
142	14750	36824
143	14853	36722
144	14958	36622
145	15067	36534
146	15179	36451
147	15283	36349
148	15383	36239
149	15482	36125
150	15580	36011
151	15690	35923
152	15821	35881
153	15985	35916
154	16187	36029
155	16320	35988
156	16452	35944
157	16575	35877
158	16679	35771
159	16805	35712
160	16919	35625
161	17029	35529
162	17151	35460
163	17267	35377
164	17383	35293
165	17492	35195
166	17574	35044
167	17691	34960
168	17807	34877
169	17890	34729
170	17995	34622
171	18108	34533
172	18236	34471
173	18324	34332
174	18442	34251
175	18555	34158
176	18651	34036
177	18847	34095
178	18938	33961
179	19088	33935
180	19205	33847
181	19336	33785
182	19451	33694
183	19566	33604
184	19676	33502
185	19787	33405
186	19878	33273
187	19986	33169
188	20099	33073
189	20187	32937
190	20293	32830
191	20404	32732
192	20497	32605
193	20593	32482
194	20695	32369
195	20789	32244
196	20886	32124
197	20980	32000
198	21094	31906
199	21198	31798
200	21302	31689
201	21402	31574
202	21523	31490
203	21622	31373
204	21714	31247
205	21842	31173
206	21959	31082
207	22067	30979
208	22186	30890
209	22283	30772
210	22376	30648
211	22497	30562
212	22596	30447
213	22694	30330
214	22805	30230
215	22910	30123
216	23011	30009
217	23120	29908
218	23239	29818
219	23376	29751
220	23494	29660
221	23586	29536
222	23721	29465
223	23877	29420
224	24117	29476
225	24274	29430
226	24397	29340
227	24569	29310
228	24677	29203
229	24797	29110
230	24918	29017
231	25037	28922
232	25144	28813
233	25256	28710
234	25369	28608
235	25485	28509
236	25601	28410
237	25702	28293
238	25860	28240
239	25964	28128
240	26097	28046
241	26196	27928
242	26310	27826
243	26409	27708
244	26511	27593
245	26604	27469
246	26705	27354
247	26800	27232
248	26898	27114
249	27000	27000
250	27096	26881
251	27200	26768
252	27295	26647
253	27396	26533
254	27584	26503
255	27697	26399
256	27826	26310
257	27943	26210
258	28057	26107
259	28164	25998
260	28288	25903
261	28408	25806
262	28525	25705
263	28638	25600
264	28735	25482
265	28839	25370
266	28949	25263
267	29046	25144
268	29151	25033
269	29276	24939
270	29365	24814
271	29459	24693
272	29554	24574
273	29656	24461
274	29765	24353
275	29855	24230
276	29964	24122
277	30071	24013
278	30172	23899
279	30258	23774
280	30349	23653
281	30448	23538
282	30564	23436
283	30651	23312
284	30757	23203
285	30860	23091
286	30968	22983
287	31064	22866
288	31160	22750
289	31269	22643
290	31389	22544
291	31493	22433
292	31606	22329
293	31722	22227
294	31832	22121
295	31949	22019
296	32053	21908
297	32168	21805
298	32268	21692
299	32381	21587
300	32474	21469
301	32591	21367
302	32693	21256
303	32792	21142
304	32883	21023
305	32987	20913
306	33082	20797
307	33190	20690
308	33293	20579
309	33398	20470
310	33508	20363
311	33629	20263
312	33746	20161
313	33857	20055
314	33988	19961
315	34092	19851
316	34204	19745
317	34321	19643
318	34446	19545
319	34574	19447
320	34674	19335
321	34831	19254
322	34944	19149
323	35063	19046
324	35176	18941
325	35302	18842
326	35397	18727
327	35503	18617
328	35598	18502
329	35691	18386
330	35798	18277
331	35888	18160
332	35983	18046
333	36080	17932
334	36173	17816
335	36265	17701
336	36361	17587
337	36453	17471
338	36551	17359
339	36638	17241
340	36734	17128
341	36831	17015
342	36917	16898
343	37012	16784
344	37106	16671
345	37195	16555
346	37288	16441
347	37388	16330
348	37472	16213
349	37567	16100
350	37667	15990
351	37760	15876
352	37855	15764
353	37944	15649
354	38040	15537
355	38135	15425
356	38251	15322
357	38346	15210
358	38435	15095
359	38526	14982
360	38625	14872
361	38715	14758
362	38812	14648
363	38904	14535
364	39000	14424
365	39089	14311
366	39186	14201
367	39294	14094
368	39401	13987
369	39489	13874
370	39585	13764
371	39674	13651
372	39774	13542
373	39996	13474
374	40097	13365
375	40215	13262
376	40313	13152
377	40410	13042
378	40516	12935
379	40615	12826
380	40709	12714
381	40812	12606
382	40902	12494
383	41003	12386
384	41099	12276
385	41192	12165
386	41288	12055
387	41379	11944
388	41474	11834
389	41570	11725
390	41662	11614
391	41757	11504
392	41859	11396
393	41954	11287
394	42044	11176
395	42137	11066
396	42232	10957
397	42321	10846
398	42413	10736
399	42513	10628
400	42610	10519
401	42698	10409
402	42797	10301
403	42885	10190
404	42976	10080
405	43074	9972
406	43192	9869
407	43323	9769
408	43423	9661
409	43531	9555
410	43641	9450
411	43740	9342
412	43847	9236
413	43949	9129
414	44049	9022
415	44144	8913
416	44234	8804
417	44328	8696
418	44423	8587
419	44516	8479
420	44610	8371
421	44705	8263
422	44800	8155
423	44898	8047
424	44982	7938
425	45081	7831
426	45176	7723
427	45271	7615
428	45369	7508
429	45455	7399
430	45553	7292
431	45643	7184
432	45736	7076
433	45826	6968
434	45924	6862
435	46010	6753
436	46108	6647
437	46202	6540
438	46292	6432
439	46390	6326
440	46485	6219
441	46582	6112
442	46670	6005
443	46765	5898
444	46861	5791
445	46946	5684
446	47049	5578
447	47137	5471
448	47234	5365
449	47322	5258
450	47417	5151
451	47510	5045
452	47600	4938
453	47693	4832
454	47789	4726
455	47879	4619
456	47979	4514
457	48069	4408
458	48177	4303
459	48280	4198
460	48370	4092
461	48468	3986
462	48561	3880
463	48653	3774
464	48746	3669
465	48842	3563
466	48935	3457
467	49033	3352
468	49123	3246
469	49222	3141
470	49336	3037
471	49425	2932
472	49522	2826
473	49614	2721
474	49710	2616
475	49805	2511
476	49900	2406
477	49996	2301
478	50101	2196
479	50190	2091
480	50285	1986
481	50376	1881
482	50476	1776
483	50566	1671
484	50666	1567
485	50757	1462
486	50853	1357
487	50936	1252
488	51033	1147
489	51130	1043
490	51240	939
491	51337	834
492	51441	730
493	51542	626
494	51641	521
495	51735	417
496	51829	312
497	51929	208
498	52018	104
499	52116	0
