iter	Passed	Remaining
0	126	62986
1	182	45550
2	250	41426
3	310	38499
4	382	37853
5	482	39750
6	604	42551
7	698	42949
8	822	44865
9	939	46055
10	1046	46538
11	1164	47339
12	1264	47366
13	1405	48791
14	1505	48692
15	1623	49110
16	1737	49369
17	1830	49026
18	1948	49321
19	2048	49175
20	2152	49099
21	2251	48919
22	2357	48883
23	2456	48716
24	2555	48545
25	2675	48773
26	2762	48401
27	2865	48301
28	2968	48214
29	3069	48088
30	3165	47889
31	3267	47786
32	3364	47618
33	3475	47637
34	3584	47623
35	3680	47431
36	3786	47386
37	3876	47128
38	3977	47011
39	4097	47125
40	4196	46975
41	4322	47132
42	4437	47158
43	4557	47232
44	4642	46938
45	4760	46987
46	4879	47031
47	4985	46944
48	5110	47034
49	5223	47015
50	5339	47007
51	5437	46845
52	5562	46915
53	5662	46764
54	5783	46797
55	5885	46661
56	6007	46692
57	6108	46552
58	6224	46523
59	6334	46449
60	6439	46339
61	6550	46277
62	6666	46244
63	6760	46055
64	6878	46032
65	7004	46057
66	7112	45964
67	7239	45993
68	7348	45898
69	7438	45694
70	7550	45621
71	7650	45478
72	7747	45318
73	7846	45168
74	7949	45047
75	8045	44885
76	8147	44758
77	8242	44596
78	8342	44458
79	8439	44309
80	8539	44174
81	8635	44019
82	8733	43880
83	8832	43743
84	8935	43628
85	9029	43466
86	9151	43441
87	9239	43256
88	9346	43161
89	9464	43115
90	9573	43027
91	9679	42927
92	9779	42800
93	9883	42689
94	9975	42526
95	10084	42438
96	10178	42286
97	10279	42168
98	10373	42016
99	10475	41902
100	10575	41778
101	10671	41640
102	10776	41535
103	10870	41390
104	10962	41241
105	11073	41159
106	11170	41029
107	11276	40928
108	11367	40777
109	11469	40663
110	11564	40527
111	11668	40423
112	11757	40265
113	11867	40182
114	11956	40029
115	12058	39916
116	12161	39810
117	12253	39667
118	12356	39560
119	12446	39415
120	12553	39320
121	12646	39182
122	12746	39067
123	12838	38931
124	12941	38824
125	13030	38676
126	13136	38582
127	13226	38440
128	13332	38343
129	13423	38205
130	13528	38106
131	13624	37982
132	13722	37867
133	13819	37745
134	13918	37632
135	14012	37503
136	14113	37396
137	14203	37258
138	14306	37156
139	14401	37031
140	14503	36927
141	14593	36792
142	14696	36689
143	14795	36578
144	14894	36466
145	15000	36369
146	15098	36257
147	15195	36140
148	15293	36027
149	15392	35916
150	15493	35809
151	15585	35681
152	15690	35584
153	15780	35454
154	15884	35354
155	15975	35227
156	16078	35127
157	16178	35019
158	16273	34901
159	16375	34798
160	16466	34670
161	16567	34565
162	16670	34465
163	16762	34342
164	16864	34239
165	16957	34119
166	17059	34016
167	17157	33905
168	17256	33798
169	17354	33688
170	17457	33588
171	17548	33464
172	17653	33368
173	17744	33245
174	17849	33148
175	17947	33040
176	18053	32945
177	18165	32861
178	18276	32775
179	18397	32706
180	18501	32607
181	18617	32529
182	18743	32468
183	18866	32400
184	18985	32325
185	19099	32243
186	19222	32173
187	19377	32158
188	19494	32078
189	19616	32005
190	19731	31922
191	19845	31835
192	19975	31774
193	20082	31676
194	20180	31565
195	20306	31495
196	20414	31399
197	20525	31307
198	20631	31206
199	20732	31098
200	20839	31000
201	20936	30886
202	21046	30792
203	21148	30686
204	21251	30581
205	21382	30516
206	21495	30425
207	21608	30334
208	21747	30280
209	21845	30167
210	21954	30070
211	22069	29981
212	22176	29881
213	22308	29814
214	22415	29713
215	22541	29637
216	22728	29641
217	22851	29560
218	23008	29521
219	23144	29456
220	23288	29400
221	23419	29327
222	23553	29256
223	23659	29152
224	23775	29058
225	23886	28959
226	23998	28861
227	24104	28756
228	24210	28650
229	24308	28535
230	24427	28446
231	24532	28339
232	24638	28233
233	24743	28126
234	24851	28023
235	24949	27909
236	25069	27820
237	25174	27713
238	25272	27599
239	25377	27492
240	25475	27378
241	25569	27259
242	25678	27157
243	25770	27038
244	25871	26927
245	25965	26809
246	26078	26712
247	26186	26609
248	26287	26498
249	26396	26396
250	26523	26311
251	26634	26211
252	26763	26129
253	26864	26018
254	26980	25922
255	27098	25828
256	27204	25722
257	27326	25632
258	27410	25505
259	27511	25394
260	27621	25293
261	27724	25184
262	27834	25082
263	27941	24978
264	28045	24870
265	28198	24806
266	28319	24713
267	28429	24611
268	28537	24506
269	28650	24405
270	28758	24301
271	28862	24193
272	28965	24085
273	29084	23989
274	29194	23886
275	29297	23777
276	29416	23681
277	29531	23582
278	29639	23477
279	29741	23368
280	29854	23267
281	29969	23167
282	30072	23059
283	30174	22949
284	30283	22845
285	30390	22739
286	30489	22628
287	30589	22516
288	30687	22404
289	30785	22293
290	30884	22181
291	30977	22065
292	31084	21961
293	31185	21850
294	31284	21740
295	31383	21629
296	31479	21516
297	31580	21407
298	31676	21294
299	31781	21187
300	31875	21073
301	31968	20959
302	32072	20852
303	32172	20742
304	32264	20628
305	32372	20524
306	32459	20406
307	32574	20306
308	32672	20195
309	32768	20083
310	32870	19976
311	32961	19861
312	33069	19756
313	33156	19640
314	33265	19537
315	33351	19419
316	33449	19309
317	33553	19203
318	33650	19093
319	33751	18985
320	33841	18871
321	33943	18763
322	34039	18653
323	34137	18543
324	34236	18435
325	34335	18326
326	34431	18216
327	34531	18108
328	34628	17998
329	34730	17891
330	34830	17783
331	34927	17673
332	35022	17563
333	35124	17456
334	35223	17348
335	35322	17240
336	35433	17138
337	35541	17034
338	35649	16930
339	35757	16826
340	35857	16719
341	35963	16614
342	36080	16515
343	36190	16412
344	36306	16311
345	36419	16209
346	36529	16106
347	36637	16002
348	36736	15894
349	36839	15788
350	36943	15682
351	37046	15576
352	37156	15473
353	37269	15371
354	37376	15266
355	37483	15161
356	37594	15058
357	37694	14951
358	37801	14846
359	37892	14735
360	38006	14634
361	38119	14531
362	38234	14430
363	38342	14325
364	38448	14220
365	38558	14116
366	38668	14013
367	38776	13908
368	38893	13807
369	38993	13700
370	39100	13595
371	39196	13487
372	39302	13381
373	39404	13275
374	39506	13168
375	39623	13067
376	39727	12961
377	39828	12854
378	39939	12751
379	40053	12648
380	40155	12541
381	40271	12439
382	40375	12333
383	40497	12233
384	40610	12130
385	40728	12028
386	40833	11922
387	40950	11820
388	41061	11716
389	41174	11613
390	41279	11507
391	41381	11401
392	41498	11298
393	41599	11191
394	41711	11087
395	41808	10980
396	41948	10883
397	42056	10778
398	42163	10672
399	42318	10579
400	42445	10478
401	42574	10378
402	42701	10278
403	42801	10170
404	42927	10069
405	43056	9968
406	43185	9867
407	43313	9766
408	43438	9664
409	43572	9564
410	43696	9462
411	43830	9361
412	43938	9255
413	44066	9154
414	44206	9054
415	44303	8945
416	44416	8840
417	44532	8736
418	44644	8630
419	44749	8523
420	44864	8418
421	44979	8313
422	45080	8206
423	45200	8102
424	45295	7993
425	45417	7889
426	45523	7782
427	45643	7678
428	45755	7572
429	45852	7464
430	45966	7358
431	46079	7253
432	46189	7147
433	46298	7040
434	46406	6934
435	46510	6827
436	46617	6720
437	46716	6612
438	46823	6506
439	46923	6398
440	47026	6291
441	47144	6186
442	47253	6080
443	47379	5975
444	47491	5869
445	47595	5762
446	47699	5655
447	47822	5550
448	47917	5442
449	48042	5338
450	48173	5233
451	48276	5126
452	48413	5023
453	48537	4917
454	48648	4811
455	48776	4706
456	48896	4600
457	48994	4492
458	49095	4385
459	49220	4280
460	49353	4175
461	49478	4069
462	49587	3962
463	49699	3856
464	49802	3748
465	49929	3642
466	50047	3536
467	50154	3429
468	50269	3322
469	50381	3215
470	50483	3108
471	50586	3000
472	50690	2893
473	50792	2786
474	50890	2678
475	50999	2571
476	51096	2463
477	51222	2357
478	51346	2251
479	51450	2143
480	51554	2036
481	51653	1928
482	51763	1821
483	51859	1714
484	51964	1607
485	52060	1499
486	52161	1392
487	52265	1285
488	52367	1177
489	52471	1070
490	52575	963
491	52673	856
492	52782	749
493	52879	642
494	52978	535
495	53085	428
496	53186	321
497	53289	214
498	53394	107
499	53530	0
